Ajdovšèina
 ;"2005"
 ;" ";"Živorojeni - moški";90
 ;" ";"Živorojeni - ženske";87
 ;" ";"Umrli - moški";90
 ;" ";"Umrli - ženske";83
 ;" ";"Naravni prirast - moški";0
 ;" ";"Naravni prirast - ženske";4
 ;"2006"
 ;" ";"Živorojeni - moški";89
 ;" ";"Živorojeni - ženske";92
 ;" ";"Umrli - moški";79
 ;" ";"Umrli - ženske";87
 ;" ";"Naravni prirast - moški";10
 ;" ";"Naravni prirast - ženske";5
 ;"2007"
 ;" ";"Živorojeni - moški";100
 ;" ";"Živorojeni - ženske";95
 ;" ";"Umrli - moški";79
 ;" ";"Umrli - ženske";78
 ;" ";"Naravni prirast - moški";21
 ;" ";"Naravni prirast - ženske";17
 ;"2008"
 ;" ";"Živorojeni - moški";136
 ;" ";"Živorojeni - ženske";82
 ;" ";"Umrli - moški";83
 ;" ";"Umrli - ženske";69
 ;" ";"Naravni prirast - moški";53
 ;" ";"Naravni prirast - ženske";13
 ;"2009"
 ;" ";"Živorojeni - moški";125
 ;" ";"Živorojeni - ženske";99
 ;" ";"Umrli - moški";71
 ;" ";"Umrli - ženske";86
 ;" ";"Naravni prirast - moški";54
 ;" ";"Naravni prirast - ženske";13
 ;"2010"
 ;" ";"Živorojeni - moški";130
 ;" ";"Živorojeni - ženske";131
 ;" ";"Umrli - moški";73
 ;" ";"Umrli - ženske";98
 ;" ";"Naravni prirast - moški";57
 ;" ";"Naravni prirast - ženske";33
 ;"2011"
 ;" ";"Živorojeni - moški";131
 ;" ";"Živorojeni - ženske";109
 ;" ";"Umrli - moški";77
 ;" ";"Umrli - ženske";72
 ;" ";"Naravni prirast - moški";54
 ;" ";"Naravni prirast - ženske";37
 ;"2012"
 ;" ";"Živorojeni - moški";142
 ;" ";"Živorojeni - ženske";129
 ;" ";"Umrli - moški";80
 ;" ";"Umrli - ženske";74
 ;" ";"Naravni prirast - moški";62
 ;" ";"Naravni prirast - ženske";55
 ;"2013"
 ;" ";"Živorojeni - moški";120
 ;" ";"Živorojeni - ženske";115
 ;" ";"Umrli - moški";90
 ;" ";"Umrli - ženske";89
 ;" ";"Naravni prirast - moški";30
 ;" ";"Naravni prirast - ženske";26
 ;"2014"
 ;" ";"Živorojeni - moški";127
 ;" ";"Živorojeni - ženske";106
 ;" ";"Umrli - moški";77
 ;" ";"Umrli - ženske";86
 ;" ";"Naravni prirast - moški";50
 ;" ";"Naravni prirast - ženske";20
Apaèe
 ;"2005"
 ;" ";"Živorojeni - moški";-
 ;" ";"Živorojeni - ženske";-
 ;" ";"Umrli - moški";-
 ;" ";"Umrli - ženske";-
 ;" ";"Naravni prirast - moški";-
 ;" ";"Naravni prirast - ženske";-
 ;"2006"
 ;" ";"Živorojeni - moški";-
 ;" ";"Živorojeni - ženske";-
 ;" ";"Umrli - moški";-
 ;" ";"Umrli - ženske";-
 ;" ";"Naravni prirast - moški";-
 ;" ";"Naravni prirast - ženske";-
 ;"2007"
 ;" ";"Živorojeni - moški";16
 ;" ";"Živorojeni - ženske";11
 ;" ";"Umrli - moški";18
 ;" ";"Umrli - ženske";13
 ;" ";"Naravni prirast - moški";-2
 ;" ";"Naravni prirast - ženske";-2
 ;"2008"
 ;" ";"Živorojeni - moški";15
 ;" ";"Živorojeni - ženske";12
 ;" ";"Umrli - moški";21
 ;" ";"Umrli - ženske";21
 ;" ";"Naravni prirast - moški";-6
 ;" ";"Naravni prirast - ženske";-9
 ;"2009"
 ;" ";"Živorojeni - moški";25
 ;" ";"Živorojeni - ženske";18
 ;" ";"Umrli - moški";16
 ;" ";"Umrli - ženske";20
 ;" ";"Naravni prirast - moški";9
 ;" ";"Naravni prirast - ženske";-2
 ;"2010"
 ;" ";"Živorojeni - moški";15
 ;" ";"Živorojeni - ženske";15
 ;" ";"Umrli - moški";15
 ;" ";"Umrli - ženske";16
 ;" ";"Naravni prirast - moški";0
 ;" ";"Naravni prirast - ženske";-1
 ;"2011"
 ;" ";"Živorojeni - moški";16
 ;" ";"Živorojeni - ženske";24
 ;" ";"Umrli - moški";10
 ;" ";"Umrli - ženske";19
 ;" ";"Naravni prirast - moški";6
 ;" ";"Naravni prirast - ženske";5
 ;"2012"
 ;" ";"Živorojeni - moški";26
 ;" ";"Živorojeni - ženske";14
 ;" ";"Umrli - moški";19
 ;" ";"Umrli - ženske";13
 ;" ";"Naravni prirast - moški";7
 ;" ";"Naravni prirast - ženske";1
 ;"2013"
 ;" ";"Živorojeni - moški";21
 ;" ";"Živorojeni - ženske";20
 ;" ";"Umrli - moški";18
 ;" ";"Umrli - ženske";13
 ;" ";"Naravni prirast - moški";3
 ;" ";"Naravni prirast - ženske";7
 ;"2014"
 ;" ";"Živorojeni - moški";18
 ;" ";"Živorojeni - ženske";17
 ;" ";"Umrli - moški";27
 ;" ";"Umrli - ženske";28
 ;" ";"Naravni prirast - moški";-9
 ;" ";"Naravni prirast - ženske";-11
Beltinci
 ;"2005"
 ;" ";"Živorojeni - moški";45
 ;" ";"Živorojeni - ženske";41
 ;" ";"Umrli - moški";48
 ;" ";"Umrli - ženske";51
 ;" ";"Naravni prirast - moški";-3
