
Ajdovšèina;"2010";130;131;73;98;57;33
Ajdovšèina;"2011";131;109;77;72;54;37
Ajdovšèina;"2012";142;129;80;74;62;55
Ajdovšèina;"2013";120;115;90;89;30;26
Ajdovšèina;"2014";127;106;77;86;50;20
Apaèe;"2010";15;15;15;16;0;-1
Apaèe;"2011";16;24;10;19;6;5
Apaèe;"2012";26;14;19;13;7;1
Apaèe;"2013";21;20;18;13;3;7
Apaèe ;"2014";18;17;27;28;-9;-11
Beltinci;"2010";46;35;44;39;2;-4
Beltinci ;"2011";43;34;36;47;7;-13
Beltinci ;"2012";35;29;39;45;-4;-16
Beltinci;"2013";33;48;35;51;-2;-3
Beltinci ;"2014";39;38;42;47;-3;-9
Benedikt ;"2010";13;9;13;7;0;2
Benedikt ;"2011";15;14;15;5;0;9
Benedikt ;"2012";13;7;7;5;6;2
Benedikt ;"2013";8;19;16;11;-8;8
Benedikt;"2014";8;14;9;8;-1;6
Bistrica ob Sotli;"2010";11;9;8;8;3;1
Bistrica ob Sotli;"2011";8;8;7;6;1;2
Bistrica ob Sotli ;"2012";4;5;4;11;0;-6
Bistrica ob Sotli ;"2013";1;8;7;8;-6;0
Bistrica ob Sotli ;"2014";8;6;4;10;4;-3
Bled ;"2010";46;51;33;33;13;18
Bled ;"2011";52;49;36;21;16;28
Bled ;"2012";51;35;41;35;10;0
Bled ;"2013";59;43;35;34;24;9
Bled ;"2014";45;45;33;34;12;11
Bloke ;"2010";11;8;6;4;5;4
Bloke ;"2011";6;12;7;10;-1;2
Bloke ;"2012";12;9;6;13;6;-4
Bloke;"2013";17;3;13;8;4;-5
Bloke;"2014";7;9;5;8;2;1
Bohinj;"2010";37;24;42;33;-5;-9
Bohinj ;"2011";26;17;19;33;7;-16
Bohinj ;"2012";29;29;34;30;-5;-1
Bohinj ;"2013";32;30;41;41;-9;-11
Bohinj ;"2014";28;23;37;31;-9;-8
Borovnica ;"2010";26;33;16;21;10;12
Borovnica ;"2011";22;36;10;7;12;29
Borovnica ;"2012";26;22;12;9;14;13
Borovnica ;"2013";32;27;9;12;23;15
Borovnica ;"2014";31;24;13;14;18;10
Bovec ;"2010";19;13;11;12;8;1
Bovec ;"2011";11;19;16;17;-5;2
Bovec ;"2012";17;10;15;16;2;-6
Bovec ;"2013";7;12;11;10;-4;2
Bovec ;"2014";11;13;17;19;-6;-6
Braslovèe ;"2010";33;24;18;16;15;8
Braslovèe ;"2011";32;32;19;19;13;13
Braslovèe ;"2012";31;23;14;18;17;5
Braslovèe ;"2013";21;26;24;23;-3;3
Braslovèe ;"2014";31;28;22;20;9;8
Brda;"2010";27;25;25;32;2;-7
Brda ;"2011";30;26;24;32;6;-6
Brda ;"2012";34;25;43;36;-9;-11
Brda ;"2013";23;23;40;42;-17;-19
Brda ;"2014";25;31;32;36;-7;-5
